13.05.2017,17:33:48,C:\Users\Roy\Documents\Visual Studio 2017\Projects\ISE17_project\MarketClient\MarketClientClass.cs,Line: 118,SUCCES,exeption
17.05.2017,00:46:34,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:46:44,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:46:54,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:04,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:14,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:24,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:34,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:44,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:47:54,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:04,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:14,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:24,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:34,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:44,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:48:54,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:04,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:14,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:24,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:34,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:44,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:49:54,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:50:04,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:50:14,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:50:24,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,00:57:21,C:\Users\Saar\Desktop\?????? ?????\????? ?\???? ?????? ?????\ISE17_Project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: One or more errors occurred., Url: http://localhost, User: user54
17.05.2017,22:21:03,C:\Users\Roy\Documents\Visual Studio 2017\Projects\ISE17_project\MarketClient\MarketClientClass.cs,Line: 140,Exeption: אירעה שגיאה אחת או יותר., Url: http://localhost, User: user54
